 Title ; Date Published ; Reading Time ; Views 
" ""Prompt engineering: kolejny must-have na liście umiejętności controllera?"" "; 22.06.2023 ; 3 min ;36
" ""Model prognostyczny z Chat GPT"" "; 25.05.2023 ; 2 min ;93
" ""Nowa sekcja: \""Książki\"""" "; 24.05.2023 ; 1 min ;14
" ""Jak przygotować dobry raport? Część 5: Projektowanie układu całego raportu"" "; 12.05.2023 ; 4 min ;26
" ""Jak przygotować dobry raport? Część 4: Wybór rodzaju wykresu"" "; 12.05.2023 ; 3 min ;52
" ""Jak przygotować dobry raport? Część 3: Wybór formy wizualizacji"" "; 11.05.2023 ; 4 min ;26
" ""Jak przygotować dobry raport? Część 2: Proces przygotowania raportu"" "; 10.05.2023 ; 3 min ;20
" ""Jak przygotować dobry raport? Część 1: Co to znaczy, że raport jest dobry?"" "; 10.05.2023 ; 4 min ;56
" ""Bilans strategiczny przedsiębiorstwa"" "; 8.05.2023 ; 2 min ;84
" ""Controlling w start-upach"" "; 7.05.2023 ; 6 min ;32
" ""Bariery business partneringu - częściowe wyniki"" "; 31.03.2023 ; 2 min ;9
" ""AI w służbie storytellingu"" "; 17.03.2023 ; 1 min ;14
" ""Wąskie gardła w zarządzaniu zespołem controllingowym"" "; 20.02.2023 ; 7 min ;71
" ""Webinar: Storytelling oparty na danych - film"" "; 26.01.2023 ; 1 min ;31
" ""Co to jest \""insight\"" i kiedy jest dobry?"" "; 9.12.2022 ; 3 min ;45
" ""O problemach z business intelligence (BI) i jak im stawić czoła?"" "; 3.12.2022 ; 5 min ;48
" ""Transformacja cyfrowa w planowaniu i analizach finansowych (FP&A): co tak naprawdę oznacza?"" "; 3.12.2022 ; 6 min ;46
" ""Projekcje makroekonomiczne w planowaniu finansów przedsiębiorstwa - na co zwracać uwagę?"" "; 25.10.2022 ; 5 min ;112
" ""Cole Nussbaumer Knaflic - Storytelling with you - recenzja"" "; 24.10.2022 ; 2 min ;17
" ""Budżet w czasach inflacji"" "; 7.10.2022 ; 3 min ;85
